ops	steps	M	K	N	zone
6979	637380	201	6	183	1,1,1,1,1,1
6994	640380	201	6	184	1,1,1,1,2
7008	643392	201	6	185	1,1,1,1,1,1
7025	646432	201	6	186	1,2,1,2
7039	649476	201	6	187	1,2,1,1,1
7054	652540	201	6	188	1,3,2
7068	655616	201	6	189	1,4,1
7088	658744	200	7	190	1,1,5
7102	661852	200	7	191	1,1,3,1,1
7117	664980	200	7	192	1,1,2,1,2
7131	668120	200	7	193	1,1,2,1,1,1
7148	671288	200	7	194	1,1,1,1,1,2
7162	674460	200	7	195	1,1,1,1,1,1,1
7177	677652	200	7	196	1,1,1,1,1,2
7191	680856	200	7	197	1,1,1,1,2,1
7207	684092	200	7	198	1,1,1,1,3
7221	687328	200	7	199	1,1,1,1,1,1,1
7236	690584	200	7	200	1,1,1,1,1,2
7250	693852	200	7	201	1,1,1,1,1,1,1
7267	697148	200	7	202	1,1,1,1,1,2
7281	700448	200	7	203	1,1,1,1,1,1,1
7296	703768	200	7	204	1,1,1,2,2
7310	707100	200	7	205	1,1,1,3,1
7327	710472	200	7	206	1,1,1,4
7341	713836	200	7	207	1,1,1,2,1,1
7356	717220	200	7	208	1,1,1,1,1,2
7370	720616	200	7	209	1,1,1,1,1,1,1
7387	724040	200	7	210	1,1,1,1,1,2
7401	727468	200	7	211	1,1,1,1,1,1,1
7416	730916	200	7	212	1,1,1,1,1,2
7430	734376	200	7	213	1,1,1,1,2,1
7446	737868	200	7	214	1,1,1,1,3
7460	741360	200	7	215	1,1,1,1,1,1,1
7475	744872	200	7	216	1,1,1,1,1,2
7489	748396	200	7	217	1,1,1,1,1,1,1
7506	751948	200	7	218	1,1,2,1,2
7520	755504	200	7	219	1,1,2,1,1,1
7535	759080	200	7	220	1,1,3,2
7549	762668	200	7	221	1,1,4,1
7567	766300	200	7	222	2,5
7581	769920	200	7	223	2,3,1,1
7596	773560	200	7	224	2,2,1,2
7610	777212	200	7	225	2,2,1,1,1
7627	780892	200	7	226	2,1,1,1,2
7641	784576	200	7	227	2,1,1,1,1,1
7656	788280	200	7	228	2,1,1,1,2
7670	791996	200	7	229	2,1,1,2,1
7686	795744	200	7	230	2,1,1,3
7700	799492	200	7	231	2,1,1,1,1,1
7715	803260	200	7	232	2,1,1,1,2
7729	807040	200	7	233	2,1,1,1,1,1
7746	810848	200	7	234	2,1,1,1,2
7760	814660	200	7	235	2,1,1,1,1,1
7775	818492	200	7	236	2,1,2,2
7789	822336	200	7	237	2,1,3,1
7806	826220	200	7	238	3,4
